StudentID,StudentName,Latitude,Longitude,BusID,SchoolID,Assigned_Bus_ID
STU061,Mohammed Abdullah Al-Otaibi,21.585198,39.132571,B3,32438,0
STU062,Saud Fahad Al-Harbi,21.5923452469577,39.1324903963726,B3,32438,0
STU063,Abdulrahman Khalid Al-Qahtani,21.589278,39.132576,B3,32438,0
STU064,Faisal Nayef Al-Mutairi,21.5927581926784,39.1322458222736,B3,32438,0
STU065,Abdullah Saad Al-Shammari,21.5923122160465,39.1339561896753,B3,32438,0
STU066,Turki Sultan Al-Rashidi,21.587662,39.136086,B3,32438,0
STU067,Nasser Mohammed Al-Ghamdi,21.5941213680942,39.1344086877183,B3,32438,0
STU068,Khalid Majed Al-Zahrani,21.5940762237553,39.1332800907697,B3,32438,0
STU069,Abdulaziz Rashid Al-Subaie,21.588948,39.138543,B3,32438,0
STU070,Badr Ahmed Al-Dosari,21.5935120055004,39.1328639951355,B3,32438,0
STU071,Mishal Fawaz Al-Ajmi,21.5944296335415,39.132225366052,B3,32438,0
STU072,Talal Abdulatif Al-Balawi,21.5950992101271,39.1363557928905,B3,32438,0
STU073,Fahad Nawaf Al-Anazi,21.591039,39.141619,B3,32438,0
STU074,Yazid Hamdan Al-Qarni,21.5962964964133,39.1284253107772,B3,32438,0
STU075,Adel Ibrahim Al-Yami,21.5953519610707,39.1272705742335,B3,32438,0
STU076,Sami Zaid Al-Juhani,21.588836,39.142773,B3,32438,1
STU077,Waleed Tariq Al-Shahrani,21.5984955661056,39.1367276725186,B3,32438,0
STU078,Mazen Abdullah Al-Sahli,21.5987268164123,39.1361864849154,B3,32438,0
STU079,Rakan Mansour Al-Qahtani,21.588186,39.142165,B3,32438,1
STU080,Hattan Ayed Al-Hazmi,21.5988521290154,39.1349314689021,B3,32438,0
STU081,Rayan Abdullah Al-Otaibi,21.5997983543283,39.1346750724355,B3,32438,0
STU082,Sattam Faisal Al-Mutairi,21.59483,39.130134,B3,32438,0
STU083,Bandar Fahad Al-Shammari,21.6009332499091,39.1346846139228,B3,32438,0
STU084,Meteb Khalid Al-Rashidi,21.5992708010639,39.1394649603833,B3,32438,0
STU085,Rashid Saud Al-Dosari,21.5985947418732,39.1390900551924,B3,32438,0
STU086,Ammar Nasser Al-Zahrani,21.592094,39.141277,B3,32438,0
STU087,Sultan Majed Al-Ghamdi,21.6010884479062,39.136247457986,B3,32438,0
STU088,Abdulmalik Fawaz Al-Balawi,21.6013291117912,39.1356294341788,B3,32438,0
STU089,Nayef Ahmed Al-Anazi,21.6017162060789,39.1373871579475,B3,32438,0
STU090,Abdullah Turki Al-Subaie,21.6014257297552,39.1395930137014,B3,32438,0
STU091,Meshari Hamad Al-Ajmi,21.5860268014131,39.1416840925486,B4,32438,1
STU092,Faisal Abdullah Al-Qarni,21.5790411803771,39.1518532546308,B4,32438,1
STU093,Anas Abdulrahman Al-Harbi,21.5803232016506,39.1531085284402,B4,32438,1
STU094,Jaber Khalid Al-Yami,21.5788665851627,39.1540848525185,B4,32438,1
STU095,Essa Fahad Al-Shahrani,21.5791658911112,39.1552703888903,B4,32438,1
STU096,Ahmed Rashid Al-Juhani,21.5794452427818,39.1500615390485,B4,32438,1
STU097,Fawaz Sultan Al-Sahli,21.5799540605164,39.1485809596751,B4,32438,1
STU098,Zaid Abdullah Al-Mutairi,21.578472498041,39.1500722678683,B4,32438,1
STU099,Mohammed Talal Al-Qahtani,21.5768113342222,39.1496216567793,B4,32438,1
STU100,Khalid Bandar Al-Otaibi,21.5813807359664,39.154487183903,B4,32438,1
STU101,Saud Abdulmalik Al-Dosari,21.5833461330016,39.1553401263624,B4,32438,1
STU102,Nawaf Mazen Al-Zahrani,21.5837701364941,39.1514777454398,B4,32438,1
STU103,Abdulrahim Faisal Al-Ghamdi,21.5842340447596,39.1506838115774,B4,32438,1
STU104,Fahad Sami Al-Rashidi,21.5871594529008,39.1543053701159,B4,32438,1
STU105,Rakan Abdullah Al-Shammari,21.5871694292011,39.1554292156967,B4,32438,1
STU106,Adel Mishal Al-Anazi,21.5872168166386,39.1567730024038,B4,32438,1
STU107,Turki Khalid Al-Balawi,21.5945024253193,39.1532110752614,B4,32438,1
STU108,Badr Sultan Al-Qarni,21.5937213665696,39.154589181018,B4,32438,1
STU109,Tariq Nasser Al-Harbi,21.5931965823497,39.1534304215554,B4,32438,1
STU110,Mansour Rashid Al-Subaie,21.5924707386158,39.1501427045265,B4,32438,1
STU111,Abdulatif Mohammed Al-Ajmi,21.5920267636476,39.1480202139234,B4,32438,1
STU112,Saif Nayef Al-Yami,21.5915678867744,39.1500260969237,B4,32438,1
STU113,Ziyad Abdullah Al-Shahrani,21.5911017674696,39.1490693547075,B4,32438,1
STU114,Rami Fahad Al-Mutairi,21.5902564489312,39.1529440414261,B4,32438,1
STU115,Hamad Faisal Al-Otaibi,21.5906304764959,39.1542718610068,B4,32438,1
STU116,Louay Khalid Al-Qahtani,21.5901062079805,39.1554232344696,B4,32438,1
STU117,Anwar Sultan Al-Dosari,21.590528,39.154077,B4,32438,1
STU118,Yasser Abdullah Al-Zahrani,21.5899229289191,39.1534116513757,B4,32438,1
STU119,Abdulhadi Fawaz Al-Rashidi,21.589298,39.152816,B4,32438,1
STU120,Samer Majed Al-Shammari,21.5888635729558,39.1503445257681,B4,32438,1
