StudentID,StudentName,Latitude,Longitude,BusID,SchoolID,Assigned_Bus_ID
STU001,Aisha Mohammed Alharbi,21.664476,39.128645,B1,34233,0
STU002,Fatimah Ahmed Alzahrani,21.643546,39.138962,B1,34233,1
STU003,Noor Khalid Alqahtani,21.665213,39.126825,B1,34233,0
STU004,Layan Abdullah Alotaibi,21.6446764377434,39.1357904664465,B1,34233,0
STU005,Raneem Saad Alghamdi,21.663693,39.128494,B1,34233,0
STU006,Joud Faisal Almutairi,21.6455688760906,39.1358065597003,B1,34233,0
STU007,Reem Hassan Alshammari,21.6580884629356,39.1264975649403,B1,34233,0
STU008,Lama Ibrahim Alsubaie,21.6461372946443,39.1343688956967,B1,34233,0
STU009,Hala Abdulrahman Aldossari,21.6637192631502,39.1276053001497,B1,34233,0
STU010,Sara Majed Alenazi,21.658286,39.125832,B1,34233,0
STU011,Noura Turki Alharbi,21.6646417702001,39.1271397617275,B1,34233,0
STU012,Dalal Saleh Mujahed,21.658795,39.125261,B1,34233,0
STU013,Raghad Nasser Alzahrani,21.6465710862662,39.1366541377398,B1,34233,0
STU014,Tala Fahad Alotaibi,21.6467854885303,39.1336125127771,B1,34233,0
STU015,Yara Khaled Alghamdi,21.6465511418534,39.132566451282,B1,34233,0
STU016,Dana Mohammed Almutairi,21.6459079330619,39.1314077370105,B1,34233,0
STU017,Maha Ahmed Alharbi,21.6455589038361,39.1309839479945,B1,34233,0
STU018,Bayan Abdullah Alshammari,21.6487898850332,39.1346344343946,B1,34233,0
STU019,Ruba Saeed Alenazi,21.6490017909925,39.1336044661533,B1,34233,0
STU020,Samar Hassan Alqahtani,21.649934,39.115431,B1,34233,0
STU021,Hind Ibrahim Alharbi,21.648775,39.115935,B1,34233,0
STU022,Shahad Faisal Alzahrani,21.649085,39.116594,B1,34233,0
STU023,Amal Abdulaziz Alotaibi,21.650338,39.117121,B1,34233,0
STU024,Farah Majed Alghamdi,21.6491513714824,39.1357475511138,B1,34233,0
STU025,Lubna Khalid Alsubaie,21.6477478017887,39.1323062769763,B1,34233,0
